0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0.578376,0.553711,0.586369,0.458306,0.596719,0.380416,0.601058,0.320538,0.597898,0.289498,0.575471,0.323265,0.576228,0.236826,0.576621,0.252819,0.586207,0.28065,0.567048,0.312341,0.568384,0.246614,0.572791,0.263912,0.579543,0.286205,0.563374,0.31876,0.563624,0.269449,0.565243,0.292483,0.569642,0.322644,0.561181,0.333092,0.561529,0.30756,0.567484,0.332106,0.57333,0.356662,0
0.578376,0.553711,0.586369,0.458306,0.596719,0.380416,0.601058,0.320538,0.597898,0.289498,0.575471,0.323265,0.576228,0.236826,0.576621,0.252819,0.586207,0.28065,0.567048,0.312341,0.568384,0.246614,0.572791,0.263912,0.579543,0.286205,0.563374,0.31876,0.563624,0.269449,0.565243,0.292483,0.569642,0.322644,0.561181,0.333092,0.561529,0.30756,0.567484,0.332106,0.57333,0.356662,0
0.428242,0.942274,0.379522,0.932512,0.373051,0.894691,0.364213,0.8593,0.354739,0.828643,0.358342,0.807831,0.359684,0.726195,0.35945,0.67184,0.358445,0.633522,0.362843,0.795613,0.382149,0.688124,0.375698,0.655882,0.374817,0.669196,0.372273,0.792079,0.388997,0.720581,0.387478,0.725511,0.391702,0.742324,0.386724,0.793819,0.397498,0.756048,0.393978,0.769072,0.387289,0.784055,0
0.428242,0.942274,0.379522,0.932512,0.373051,0.894691,0.364213,0.8593,0.354739,0.828643,0.358342,0.807831,0.359684,0.726195,0.35945,0.67184,0.358445,0.633522,0.362843,0.795613,0.382149,0.688124,0.375698,0.655882,0.374817,0.669196,0.372273,0.792079,0.388997,0.720581,0.387478,0.725511,0.391702,0.742324,0.386724,0.793819,0.397498,0.756048,0.393978,0.769072,0.387289,0.784055,0
0.714736,0.876679,0.742516,0.86669,0.78049,0.861192,0.794482,0.802316,0.813998,0.738393,0.859384,0.750126,0.842756,0.691311,0.808838,0.745718,0.799595,0.792171,0.842678,0.683049,0.815197,0.597737,0.7639,0.618472,0.749726,0.650881,0.804484,0.642681,0.77647,0.59942,0.737825,0.653795,0.734417,0.690711,0.764201,0.611713,0.737134,0.615482,0.704666,0.655741,0.692559,0.673216,0
0.714736,0.876679,0.742516,0.86669,0.78049,0.861192,0.794482,0.802316,0.813998,0.738393,0.859384,0.750126,0.842756,0.691311,0.808838,0.745718,0.799595,0.792171,0.842678,0.683049,0.815197,0.597737,0.7639,0.618472,0.749726,0.650881,0.804484,0.642681,0.77647,0.59942,0.737825,0.653795,0.734417,0.690711,0.764201,0.611713,0.737134,0.615482,0.704666,0.655741,0.692559,0.673216,0
0.767513,0.817013,0.761882,0.847992,0.763684,0.880624,0.737215,0.858852,0.715659,0.804977,0.820458,0.797487,0.761581,0.771005,0.723314,0.769631,0.70911,0.769703,0.804209,0.701498,0.717805,0.682971,0.680021,0.757644,0.687651,0.802765,0.773783,0.651095,0.698403,0.606295,0.680142,0.665372,0.697488,0.707882,0.741144,0.606423,0.696059,0.576497,0.685759,0.58371,0.695276,0.587252,0
0.767513,0.817013,0.761882,0.847992,0.763684,0.880624,0.737215,0.858852,0.715659,0.804977,0.820458,0.797487,0.761581,0.771005,0.723314,0.769631,0.70911,0.769703,0.804209,0.701498,0.717805,0.682971,0.680021,0.757644,0.687651,0.802765,0.773783,0.651095,0.698403,0.606295,0.680142,0.665372,0.697488,0.707882,0.741144,0.606423,0.696059,0.576497,0.685759,0.58371,0.695276,0.587252,0
0.729231,0.863473,0.788917,0.841995,0.822562,0.845371,0.813453,0.819449,0.799839,0.787578,0.836916,0.738983,0.817237,0.672629,0.799035,0.701671,0.797758,0.722277,0.78908,0.677114,0.76066,0.580511,0.729408,0.629457,0.728474,0.676952,0.735329,0.652226,0.715211,0.543282,0.698542,0.588022,0.707276,0.650178,0.682845,0.642251,0.668016,0.569198,0.656885,0.586989,0.659875,0.633739,0
0.729231,0.863473,0.788917,0.841995,0.822562,0.845371,0.813453,0.819449,0.799839,0.787578,0.836916,0.738983,0.817237,0.672629,0.799035,0.701671,0.797758,0.722277,0.78908,0.677114,0.76066,0.580511,0.729408,0.629457,0.728474,0.676952,0.735329,0.652226,0.715211,0.543282,0.698542,0.588022,0.707276,0.650178,0.682845,0.642251,0.668016,0.569198,0.656885,0.586989,0.659875,0.633739,0
